La durée légale de 35 heures de travail par semaine s'applique-t-elle à toutes les entreprises en France?,Seulement aux entreprises parisiennes,Uniquement au secteur public,"Non, seulement aux grandes entreprises","Oui, cette durée s’applique à toutes les entreprises",d,Cette durée s’applique à toutes les entreprises.,fr,Vivre dans la société française,CSP
L'autorisation du représentant légal pour un mineur de 16 ans qui travaille est-elle obligatoire s'il est émancipé?,Seulement s'il a 17 ans,Uniquement pour le travail de nuit,"Oui, toujours","Non, sauf s'il est émancipé",d,"Tout mineur doit y être autorisé par son représentant légal [], sauf s'il est émancipé.",fr,Droits et devoirs,CR
"Pour combien de temps de travail un salarié acquiert-il 2,5 jours ouvrables de congé payé?",Une année entière de travail,Un temps équivalent à un mois de travail,Une semaine de travail,Un jour de travail,b,"Un salarié a droit à 2,5 jours ouvrables de congé payé s’il a travaillé chez le même employeur pendant un temps équivalent à un mois de travail.",fr,Vivre dans la société française,Naturalisation
Les conditions de travail et la sécurité font-elles partie du règlement intérieur?,"Oui, c'est l'un de ses objets principaux",C'est optionnel,"Non, jamais",Uniquement si le syndicat le demande,a,"Il présente les droits et obligations des salariés en matière de santé, de sécurité et de discipline.",fr,Droits et devoirs,CSP
Le fait d'imposer un salaire plus bas à une femme qu'à un homme pour le même travail est-il légal?,"Oui, si le règlement intérieur le précise",C'est légal pour les emplois à temps partiel,"Oui, si l'entreprise a peu de moyens","Non, c'est une situation de discrimination",d,"On parle de discrimination [] par exemple son origine, son sexe",fr,Principes et valeurs de la République,CR
Lequel de ces acteurs peut être contacté en externe de l'entreprise pour une discrimination?,Le maire du village,La caisse de chômage,L'Inspection du Travail,Le médecin du travail uniquement,c,"Une victime de discrimination [] peut le signaler, par exemple : à l’Inspection du Travail.",fr,Système institutionnel et politique,Naturalisation
Les apprentis sont-ils exclus de la protection contre les discriminations?,"Oui, car ils sont encore à l'école","Oui, ils n'ont aucun droit",Seulement lors de leur première année,"Non, ils sont protégés au même titre que les salariés",d,"Toutes les personnes qui travaillent dans une entreprise (salarié, stagiaire, apprenti) sont protégées.",fr,Droits et devoirs,CSP
Le congé payé est-il financé par l'État ou l'employeur?,Par leur employeur,Par les impôts,Par le salarié lui-même,Par l'État,a,"Tous les salariés ont droit, chaque année, à un congé payé par leur employeur.",fr,Droits et devoirs,CR
Le bulletin de paie est-il un document facultatif?,Seulement une fois par an,"Non, l'employeur doit le fournir obligatoirement","Oui, si l'employeur le décide",Uniquement pour les CDD,b,"Au moment du versement du salaire, l’employeur doit fournir au salarié un bulletin de paie.",fr,Droits et devoirs,Naturalisation
Quelle juridiction juge les conflits entre employeurs et salariés?,Le Tribunal de commerce,Le Tribunal correctionnel,Le Conseil d'État,Le Conseil de Prud'hommes,d,"Si le salarié et l’employeur ne sont pas d'accord [], le salarié peut contacter le Conseil de Prud’hommes.",fr,Système institutionnel et politique,CSP
Le droit de se syndiquer est-il une liberté importante dans le monde du travail?,"C'est une obligation, pas une liberté","Oui, c'est une liberté importante",Cela dépend des entreprises,"Non, c'est mineur",b,C’est une liberté importante dans le monde du travail.,fr,Principes et valeurs de la République,CR
Les jours fériés sont-ils considérés comme des jours ouvrables pour le calcul des congés?,"Non, sauf exception","Oui, s'ils tombent un mercredi","Non, le dimanche et les jours fériés ne le sont pas","Oui, toujours",c,Sauf le dimanche et les jours fériés.,fr,Vivre dans la société française,Naturalisation
Que signifie l'affirmation 'Le congé payé est un droit et une obligation'?,Le salarié a le droit de les prendre et l'employeur a l'obligation de les donner (ou inversement),Le salarié peut choisir de ne pas les prendre,Le salarié doit payer pour ses congés,Seul l'employeur décide des dates,a,Le congé payé est un droit et une obligation. (Le salarié doit les prendre et l'employeur doit les accorder).,fr,Droits et devoirs,CSP
Le SMIC est-il un salaire mensuel ou un salaire horaire minimum?,C'est une prime de fin d'année,C'est le salaire horaire minimum en France,C'est un impôt,C'est un salaire annuel,b,"Le SMIC, qui est le salaire horaire minimum en France.",fr,Vivre dans la société française,CR
Le refus par le salarié de recevoir son bulletin de paie par voie électronique est-il légal?,"Oui, le salarié a le droit de le refuser",Uniquement avec l'accord de l'inspection du travail,"Non, c'est l'employeur qui choisit",Seulement s'il n'a pas d'ordinateur,a,"L’employeur peut fournir le bulletin de paie sous forme électronique, sauf si le salarié le refuse.",fr,Droits et devoirs,Naturalisation
L'employeur a-t-il le droit de refuser de payer le salaire à son employé?,Seulement pour les temps partiels,"Oui, s'il n'est pas satisfait","Oui, si l'entreprise perd de l'argent","Non, car le salaire est versé en échange du travail fourni",d,"Le salaire est l’argent versé par l’employeur au salarié, en échange du travail qu’il a fourni.",fr,Droits et devoirs,CSP
Que risque un employeur qui licencie un salarié parce qu'il a signalé une vraie discrimination?,Une amende payée par le salarié,Une récompense,Une condamnation car signaler une discrimination n'entraîne aucune sanction,Rien du tout,c,Signaler une discrimination n’entraîne aucune sanction. (La sanction serait illégale).,fr,Droits et devoirs,CR
Le renouvellement d'un contrat de travail peut-il donner lieu à de la discrimination?,Uniquement pour les femmes enceintes,Seulement pour les fonctionnaires,"Oui, c'est un des moments identifiés par le texte","Non, l'employeur est toujours libre",c,Il peut y avoir de la discrimination [] au moment du renouvellement de contrat.,fr,Principes et valeurs de la République,Naturalisation
Le fait d'indiquer les heures de grève sur le bulletin de paie est interdit. Pourquoi?,Parce que la loi l'interdit spécifiquement,Pour que l'employeur gagne plus d'argent,Pour ne pas payer les impôts,Parce que la grève n'existe pas en France,a,"À l’inverse, d’autres informations sont interdites, par exemple les heures ou journées de grève du salarié.",fr,Droits et devoirs,CSP
Un salarié qui travaille 20 heures par semaine est à temps partiel ou complet?,En apprentissage,À temps partiel,À temps complet,En heure supplémentaire,b,Les salariés à temps partiel travaillent moins de 35 heures par semaine.,fr,Vivre dans la société française,CR
L'origine d'un individu peut-elle être un critère de rémunération au travail?,"Non, c'est une discrimination interdite par la loi","Oui, si la convention collective le dit","Oui, pour certains métiers",Uniquement pour les emplois publics,a,"On parle de discrimination au travail quand une personne est moins bien traitée [] en raison d’un des critères interdits par la loi, par exemple son origine.",fr,Principes et valeurs de la République,Naturalisation
Quel est le rôle d'une règle juridique?,De fixer uniquement les salaires des ministres,D'organiser la vie sociale,D'annuler le Code du travail,D'empêcher tout le monde de travailler,b,Une règle juridique organise la vie sociale.,fr,Système institutionnel et politique,CSP
Le droit du travail protège-t-il les travailleurs contre des horaires abusifs?,"Non, pas du tout",Uniquement le dimanche,"Oui, en fixant un temps de travail maximal à ne pas dépasser",Seulement pour les mineurs,c,Il existe aussi un temps de travail maximal à ne pas dépasser.,fr,Droits et devoirs,CR
,,,,,,,,,
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Qui peut garder les enfants de moins de 3 ans qui ne vont pas encore à l’école?,Les voisins,Des professionnels spécialisés,Les grands-parents uniquement,Personne,b,Les enfants de moins de 3 ans qui ne vont pas encore à l’école peuvent être gardés par des professionnels spécialisés dans la garde d’enfant.,fr,Vivre dans la société française,CSP
Le service de garde par des professionnels est-il gratuit?,"Oui, toujours",Uniquement pour les étrangers,Seulement le matin,"Non, ce service est payant",d,"Ce service est payant, mais il existe des aides financières pour les personnes à faibles revenus.",fr,Vivre dans la société française,CR
Existe-t-il des aides financières pour faire garder son enfant?,"Oui, pour tout le monde sans exception","Oui, pour les personnes à faibles revenus",Seulement pour les familles de 5 enfants,"Non, aucune",b,Il existe des aides financières pour les personnes à faibles revenus.,fr,Vivre dans la société française,Naturalisation
Quel est l'un des avantages des lieux de garde d'enfant?,Les enfants apprennent l'anglais,Les enfants sont en contact avec d'autres enfants,Les enfants apprennent à conduire,Les enfants sont isolés,b,Un des avantages : les enfants sont en contact avec d’autres enfants.,fr,Vivre dans la société française,CSP
À partir de quel âge les lieux de garde accueillent-ils les enfants?,Dès la naissance,À partir de 2 mois et demi,À partir de 1 an,À partir de 1 mois,b,Ces lieux gardent des enfants à partir de 2 mois et demi.,fr,Vivre dans la société française,CR
Jusqu'à quel âge certains lieux peuvent-ils garder les enfants?,Jusqu'à la majorité,Jusqu'à 3 ans uniquement,Jusqu'à 10 ans,Jusqu'à 6 ans dans certains cas,d,"Dans certains cas, ils gardent des enfants jusqu’à 6 ans.",fr,Vivre dans la société française,Naturalisation
Qu'est-ce qu'une crèche?,Un endroit qui garde de nombreux enfants de manière régulière,Un lieu qui garde des enfants certains jours uniquement,Un lieu où les enfants dorment la nuit,Une école primaire,a,"La crèche est un endroit qui garde de nombreux enfants, de manière régulière.",fr,Vivre dans la société française,CSP
Qu'est-ce qu'une crèche parentale?,Une crèche sans professionnels,Une crèche gérée par la commune,Une crèche pour les parents uniquement,Une crèche où les parents se partagent les temps de garde,d,Crèche parentale (les parents se partagent les temps de garde).,fr,Vivre dans la société française,CR
Par qui peut être gérée une crèche collective?,Par un parent seul,Uniquement par une entreprise,Par une association ou une commune,Par les enfants,c,"Crèche collective (gérée par une association, une commune…).",fr,Vivre dans la société française,Naturalisation
Quelle est la particularité d'une micro-crèche?,Elle ne garde que les bébés de moins d'un mois,Elle garde 10 enfants au maximum,Elle garde plus de 50 enfants,Elle est gratuite,b,La micro-crèche est une crèche qui garde 10 enfants au maximum.,fr,Vivre dans la société française,CSP
La micro-crèche garde-t-elle les enfants tous les jours obligatoirement?,"Non, elle garde les enfants de manière régulière ou seulement certains jours",Seulement le week-end,Oui,Uniquement l'après-midi,a,Elle garde les enfants de manière régulière ou seulement certains jours.,fr,Vivre dans la société française,CR
Quelle est la limite de temps dans une halte-garderie?,Tous les jours,1 jour par semaine,Pas plus de 3 demi-journées par semaine,Seulement la nuit,c,"La halte-garderie permet de faire garder son enfant certains jours, pas plus de 3 demi-journées par semaine.",fr,Vivre dans la société française,Naturalisation
Quelle est la différence entre une halte-garderie et une crèche?,Elle est gratuite,Les professionnels sont moins nombreux,Elle n'accepte que les filles,Les enfants doivent avoir 3 ans,b,"Elle fonctionne comme une crèche, mais les professionnels sont moins nombreux.",fr,Vivre dans la société française,CSP
"Qui peut garder un ou plusieurs enfants en même temps, en complément de l'école?",L'assistante maternelle,L'instituteur,Le maire,Le médecin,a,L’assistante maternelle peut garder un ou plusieurs enfants en même temps.,fr,Vivre dans la société française,CR
L'assistante maternelle peut-elle garder un enfant en complément de l'école?,"Oui, il est possible de faire garder son enfant en complément de l'école",Seulement les mercredis,Seulement pendant les vacances,"Non, c'est interdit",a,"Il est possible de faire garder son enfant de moins de 3 ans, en complément de l’école.",fr,Vivre dans la société française,Naturalisation
En quoi consiste la garde à domicile?,Les parents emploient une personne qui vient garder l'enfant chez eux,Les parents arrêtent de travailler,L'enfant est envoyé dans une autre ville,L'enfant est gardé à la mairie,a,À domicile. Les parents emploient directement une personne qui vient garder l’enfant chez eux.,fr,Vivre dans la société française,CSP
Comment est le coût de la garde à domicile par rapport aux autres solutions?,Elle est moins chère,Elle est gratuite,Elle est plus chère,Le prix est identique,c,Cette solution est plus chère que les autres.,fr,Vivre dans la société française,CR
La garde à domicile est-elle très encadrée?,Elle est totalement interdite,"Non, elle est moins encadrée","Oui, elle est très encadrée",Elle est encadrée par la police,b,Cette solution est plus chère que les autres et moins encadrée.,fr,Vivre dans la société française,Naturalisation
Que favorisent les diverses activités en crèche?,La marche à pied,Le sommeil uniquement,L'apprentissage de la lecture,Le bon développement des enfants,d,Diverses activités favorisent le bon développement des enfants.,fr,Vivre dans la société française,CSP
Quelle crèche est située sur le lieu de travail des parents?,La micro-crèche,La crèche dans une entreprise,La crèche de quartier,La crèche parentale,b,Il existe différents types de crèches : [] crèche dans une entreprise.,fr,Vivre dans la société française,CR
L'école en France est-elle obligatoire pour les enfants étrangers?,Seulement s'ils parlent français,"Non, seulement pour les Français",Uniquement s'ils ont plus de 10 ans,"Oui, Français ou étrangers, tous les enfants doivent aller à l'école",d,"Français ou étrangers, tous les enfants âgés de 3 à 16 ans, qui habitent en France, doivent aller à l’école.",fr,Droits et devoirs,Naturalisation
De quel âge à quel âge l'école est-elle obligatoire en France?,De 6 à 16 ans,De 6 à 18 ans,De 3 à 16 ans,De 3 à 18 ans,c,"Tous les enfants âgés de 3 à 16 ans, qui habitent en France, doivent aller à l’école.",fr,Droits et devoirs,CSP
En combien de temps l'école est-elle organisée en France?,2 temps,5 temps,3 temps,4 temps,d,L’école est organisée en 4 temps.,fr,Vivre dans la société française,CR
Quel est le premier temps de l'école?,Le collège,Le lycée,La maternelle,Le cours élémentaire,c,"La maternelle, (de 3 à 6 ans).",fr,Vivre dans la société française,Naturalisation
Pour quelle tranche d'âge est prévue l'école maternelle?,De 2 à 5 ans,De 4 à 7 ans,De 6 à 11 ans,De 3 à 6 ans,d,"La maternelle, (de 3 à 6 ans).",fr,Vivre dans la société française,CSP
Combien de niveaux y a-t-il en école maternelle?,3,4,5,2,a,"Il y a 3 niveaux : petite section, moyenne section, et grande section.",fr,Vivre dans la société française,CR
Quel est l'âge des enfants au cours élémentaire?,De 6 à 11 ans,De 11 à 15 ans,De 15 à 18 ans,De 3 à 6 ans,a,Le cours élémentaire (de 6 à 11 ans).,fr,Vivre dans la société française,Naturalisation
Combien de niveaux y a-t-il au cours élémentaire?,4,5,3,6,b,"Il y a 5 niveaux : CP, CE1, CE2, CM1 et CM2.",fr,Vivre dans la société française,CSP
À quel âge les enfants vont-ils au collège?,De 6 à 11 ans,De 11 à 15 ans,De 18 à 21 ans,De 15 à 18 ans,b,Le collège (de 11 à 15 ans).,fr,Vivre dans la société française,CR
Comment s'appellent les niveaux du collège?,"Seconde, Première, Terminale","6e, 5e, 4e et 3e","CP, CE1, CE2, CM1, CM2","Petite, moyenne et grande section",b,"Il y a 4 niveaux : 6e, 5e, 4e et 3e.",fr,Vivre dans la société française,Naturalisation
Quel diplôme passe-t-on à la fin du collège?,Le baccalauréat,Le certificat d'études,Le brevet des collèges (DNB),La licence,c,"À la fin du collège, l’enfant passe un diplôme qui s’appelle le brevet des collèges.",fr,Vivre dans la société française,CSP
Que signifie DNB?,Direction Nationale des Bourses,Diplôme de Niveau Basique,Diplôme National du Brevet,Diplôme National du Baccalauréat,c,"Le brevet des collèges, ou diplôme national du brevet (DNB).",fr,Vivre dans la société française,CR
Pour quelle tranche d'âge est prévu le lycée?,De 18 à 25 ans,De 15 à 18 ans,De 11 à 15 ans,De 6 à 11 ans,b,Le lycée (de 15 à 18 ans).,fr,Vivre dans la société française,Naturalisation
Quels sont les niveaux du lycée?,"CP, CE1, CE2","Seconde, Première, Terminale","6e, 5e, 4e, 3e","Licence, Master, Doctorat",b,"Il y a 3 niveaux : Seconde, Première, Terminale.",fr,Vivre dans la société française,CSP
Quel diplôme passe-t-on à la fin du lycée?,Le CAP,Le baccalauréat (BAC),Le brevet,Le Master,b,À la fin du lycée l’enfant passe un diplôme qui s’appelle le baccalauréat (BAC).,fr,Vivre dans la société française,CR
Que permet de faire le baccalauréat?,De poursuivre des études et d'être orienté vers l'enseignement supérieur,De s'inscrire au collège,D'éviter l'école obligatoire,De conduire une voiture,a,Permet de poursuivre des études et d’être orienté vers de nombreux parcours dans l’enseignement supérieur.,fr,Vivre dans la société française,Naturalisation
Qu'est-ce qui est accessible à tous les enfants dans tous les établissements scolaires?,Un ordinateur portable,Une cantine,Une piscine,Un bus gratuit,b,Une cantine est accessible à tous les enfants qui le souhaitent dans tous les établissements scolaires.,fr,Vivre dans la société française,CSP
Pourquoi l'école maternelle aide-t-elle les enfants à s'intégrer dans la société?,Car ils apprennent la langue française s'ils ne la parlent pas encore,Car ils y apprennent une profession,Car ils apprennent à travailler,Car ils y gagnent un salaire,a,L’école maternelle permet aux enfants de s’intégrer dans la société : les enfants apprennent la langue française s’ils ne la parlent pas encore.,fr,Vivre dans la société française,CR
Que font les enfants à l'école maternelle pour la vie sociale?,Ils restent seuls,Ils apprennent le code de la route,Ils apprennent à vivre ensemble et se font des amis,Ils travaillent à la chaîne,c,Ils apprennent à vivre ensemble ; ils se font des amis.,fr,Vivre dans la société française,Naturalisation
Que permet l'école maternelle pour les parents?,De laisser les enfants le week-end,De travailler dans l'école,De ne plus éduquer leurs enfants,"De rencontrer de nouvelles personnes, les enseignants et d'autres parents",d,L’école maternelle permet aux parents de rencontrer de nouvelles personnes : les enseignants et d’autres parents.,fr,Vivre dans la société française,CSP
Que se passe-t-il après l'âge de 16 ans concernant l'école?,L'enfant doit obligatoirement travailler,Les études supérieures sont interdites,L'école n'est plus obligatoire mais on peut poursuivre ses études,L'école reste obligatoire jusqu'à 21 ans,c,"Après 16 ans, l’école n’est plus obligatoire mais tous les enfants peuvent poursuivre leurs études.",fr,Droits et devoirs,CR
Quelle est une des possibilités de formation après 16 ans?,La maternelle,Le chômage,"L'apprentissage (agriculture, bâtiment)",Le collège,c,"Il existe de nombreuses possibilités : apprentissage (agriculture, bâtiment…).",fr,Vivre dans la société française,Naturalisation
Les parents sont-ils obligés d'inscrire leur enfant à l'école publique?,"Oui, c'est la loi","Oui, jusqu'à 18 ans","Non, uniquement s'ils sont étrangers","Non, ils sont libres de l'inscrire dans une école publique ou privée",d,Les parents sont libres d'inscrire leur enfant dans une école publique ou privée.,fr,Droits et devoirs,CSP
Qui faut-il contacter pour inscrire son enfant à l'école publique?,La mairie ou l'école située à proximité,L'hôpital,Le ministère de l'Éducation,Le commissariat de police,a,"Pour inscrire son enfant à l’école publique, il suffit de contacter la mairie, ou l’école située à proximité de son domicile.",fr,Système institutionnel et politique,CR
Les diplômes délivrés par les écoles publiques ont-ils une valeur officielle?,Seulement le Bac,Uniquement s'ils sont validés par un juge,"Oui, ils ont tous une valeur officielle",Non,c,Les diplômes délivrés par les écoles publiques ont tous une valeur officielle.,fr,Vivre dans la société française,Naturalisation
Comment est qualifiée l'École républicaine en France?,"Gratuite, laïque et obligatoire","Chère, privée et libre","Payante, religieuse et facultative",Exclusivement réservée aux garçons,a,"L’École républicaine, gratuite, laïque et obligatoire.",fr,Principes et valeurs de la République,CSP
Quelle valeur est transmise par l'École républicaine?,L'enrichissement personnel,La citoyenneté et la laïcité,La discrimination,Le fanatisme,b,"Est au cœur de la transmission des valeurs de la République, telles que la citoyenneté, la laïcité.",fr,Principes et valeurs de la République,CR
Quelle lutte est encouragée par l'École républicaine?,La lutte des classes,La lutte contre l'égalité,La lutte pour la compétition,La lutte contre toutes les formes de discrimination,d,La lutte contre toutes les formes de discrimination.,fr,Principes et valeurs de la République,Naturalisation
L'inscription dans une école privée est-elle soumise à une contrainte de domicile?,"Oui, selon le département","Oui, on doit habiter la même rue","Non, elle est sans contrainte liée au lieu de domicile","Oui, on doit habiter la même ville",c,"Les parents peuvent inscrire leur enfant dans une école privée, sans contrainte liée à leur lieu de domicile.",fr,Droits et devoirs,CSP
Les écoles privées sont-elles contrôlées en France?,"Oui, elles sont également contrôlées par l’État selon leur statut",Uniquement par la mairie,"Non, elles font ce qu'elles veulent",Seulement par les parents,a,Les écoles privées sont également contrôlées par l’État selon leur statut.,fr,Système institutionnel et politique,CR
Qu'est-ce qui peut être différent financièrement dans une école privée?,C'est toujours gratuit,Il peut y avoir des frais complémentaires par rapport à l'école publique,L'État rembourse tout,On est payé pour y aller,b,Il peut y avoir des frais complémentaires par rapport à l’école publique.,fr,Vivre dans la société française,Naturalisation
Les diplômes des écoles privées ont-ils tous une valeur officielle?,Aucun n'a de valeur,Seulement les diplômes scientifiques,"Non, ils n'ont pas tous une valeur officielle","Oui, comme le public",c,Les diplômes délivrés par les écoles privées n'ont pas tous une valeur officielle.,fr,Vivre dans la société française,CSP
Un parent peut-il faire 'l'école à la maison'?,"Oui, s'il est professeur","Oui, librement et sans condition","Exceptionnellement, avec une autorisation spéciale en fonction de certains motifs","Non, jamais",c,Un parent peut exceptionnellement 'faire l’école' lui-même à son enfant. Il faut une autorisation spéciale.,fr,Droits et devoirs,CR
Lequel de ces motifs permet de demander l'autorisation pour l'école à la maison?,L'école est trop loin,Les parents voyagent beaucoup,Les parents n'aiment pas les professeurs,L'état de santé de l'enfant,d,Exemples : l’état de santé de l’enfant.,fr,Droits et devoirs,Naturalisation
Quel autre motif est valable pour l'école à la maison?,La cantine est trop chère,Les parents veulent enseigner une autre langue,L'enfant s'ennuie à l'école,L'enfant pratique un sport de manière intensive,d,L’enfant pratique un sport de manière intensive.,fr,Droits et devoirs,CSP
Le handicap d'un enfant peut-il justifier l'école à la maison?,Seulement s'il est au collège,Non,Seulement s'il a plus de 16 ans,"Oui, c'est un des motifs prévus",d,Exemples : [] l’enfant a un handicap.,fr,Droits et devoirs,CR
Les motifs pour faire l'école à la maison sont-ils encadrés?,C'est un droit absolu sans encadrement,"Oui, les motifs sont très encadrés par la loi","Oui, encadrés par le maire de la ville","Non, le parent choisit son motif",b,Les motifs sont très encadrés par la loi.,fr,Système institutionnel et politique,Naturalisation
Qu'est-ce qu'un enfant allophone?,Un enfant qui ne parle aucune langue,Un enfant surdoué,Un enfant dont la langue maternelle n'est pas le français,Un enfant qui parle au téléphone,c,Enfants non francophones (c’est-à-dire ceux dont la langue maternelle n’est pas le français).,fr,Vivre dans la société française,CSP
L'obligation d'aller à l'école de 3 à 16 ans concerne-t-elle les enfants non francophones?,Seulement au collège,Seulement à partir de 6 ans,Non,"Oui, cette obligation les concerne aussi",d,Cette obligation concerne donc aussi les enfants non francophones.,fr,Droits et devoirs,CR
Quelle proportion d'enfants allant à l'école parlent une autre langue à la maison?,Plus d'un tiers,Plus d'un quart,Moins de 10 %,La moitié,a,Plus d’un tiers des enfants qui vont à l’école parlent une autre langue que le français à la maison.,fr,Vivre dans la société française,Naturalisation
Que passe un enfant qui ne parle pas bien français à son entrée dans l'école?,Un entretien avec le maire,Un examen d'entrée éliminatoire,Un test de positionnement,Un test de sport,c,Passe un test de positionnement pour déterminer son niveau en français.,fr,Vivre dans la société française,CSP
À quoi sert le test de positionnement?,À déterminer son quotient intellectuel,À refuser l'inscription,À déterminer son niveau en français et l'orienter,À choisir son école,c,Pour déterminer son niveau en français et l'orienter.,fr,Vivre dans la société française,CR
Que signifie le sigle UPE2A?,Union Primaire des Écoles pour Allophones,Unités Pédagogiques pour Élèves étrangers Allophones Arrivants,Unité pour l'Éducation des Apprentis,Union Pédagogique des Étudiants,b,Unités Pédagogiques pour Élèves étrangers Allophones Arrivants - UPE2A.,fr,Système institutionnel et politique,Naturalisation
Pour qui les unités UPE2A sont-elles déployées?,Pour les étudiants à l'université,Pour les parents étrangers,Pour les élèves allophones nouvellement arrivés,Pour les élèves nés en France,c,Déployées pour les élèves allophones nouvellement arrivés.,fr,Vivre dans la société française,CSP
Que signifie l'abréviation NSA dans UPE2A-NSA?,Niveau Scolaire Atteint,Nouvelle Section pour Allophones,Nouveau Système d'Apprentissage,Non Scolarisés Antérieurement,d,Non Scolarisés Antérieurement - UPE2A-NSA.,fr,Vivre dans la société française,CR
À qui sont destinées les unités UPE2A-NSA?,Aux professeurs des écoles,Aux élèves allophones non scolarisés avant leur arrivée,Aux enfants de moins de 3 ans,Aux enfants très doués en maths,b,Destinées aux élèves allophones non scolarisés avant leur arrivée.,fr,Vivre dans la société française,Naturalisation
Que permettent les UPE2A-NSA par rapport aux UPE2A?,D'apprendre d'autres langues étrangères,De remplacer le collège,De réduire le temps d'école,De prolonger d’une année supplémentaire le dispositif UPE2A,d,Offrent la possibilité de prolonger d’une année supplémentaire le dispositif UPE2A.,fr,Vivre dans la société française,CSP
Comment sont les cours suivis par l'enfant selon son niveau en français?,Ils sont dispensés dans sa langue maternelle,Il peut suivre des cours adaptés,Ils sont identiques à l'université,Ils sont supprimés,b,"Selon son niveau, il peut suivre des cours adaptés.",fr,Vivre dans la société française,CR
Pourquoi l'enfant apprend-il vite la langue française dans le cadre de l'école?,Parce qu'il est obligé par la police,Parce qu'il reçoit un dictionnaire,Parce qu'il regarde la télévision,Parce qu'il est entouré d’enfants et d’adultes qui parlent le français,d,"Entouré d’enfants et d’adultes qui parlent le français, il apprend vite la langue française.",fr,Vivre dans la société française,Naturalisation
Que fait l'enfant allophone une fois qu'il maîtrise le français?,Il doit changer d'école,Il peut suivre les mêmes cours que les autres enfants,Il quitte l'école,Il devient professeur,b,"Une fois qu’il maîtrise le français, il peut suivre les mêmes cours que les autres enfants.",fr,Vivre dans la société française,CSP
Le brevet des collèges est-il un diplôme national?,"Non, c'est un diplôme privé","Non, c'est un diplôme régional","Oui, on l'appelle diplôme national du brevet","Non, il a été supprimé",c,"Qui s’appelle le brevet des collèges, ou diplôme national du brevet (DNB).",fr,Système institutionnel et politique,CR
L'université est-elle une des possibilités après l'âge de 16 ans?,"Oui, mais seulement pour les sciences","Non, il faut aller dans le bâtiment","Oui, c'est une des possibilités (sport, langues, sciences…)","Non, c'est réservé aux plus de 30 ans",c,"Il existe de nombreuses possibilités : apprentissage [], université (sport, langues, sciences…).",fr,Vivre dans la société française,Naturalisation
Quelles sont les valeurs transmises par l'École républicaine?,Le commerce et l'économie,"La citoyenneté, la laïcité, la culture de l’engagement",Le patriotisme militaire,Uniquement la lecture et l'écriture,b,"Valeurs de la République, telles que la citoyenneté, la laïcité, la culture de l’engagement.",fr,Principes et valeurs de la République,CSP
"Dans l'organisation de l'école, que vient après la maternelle?",Le lycée,Le cours élémentaire,L'université,Le collège,b,Le cours élémentaire (de 6 à 11 ans).,fr,Vivre dans la société française,CR
Combien de niveaux compte le lycée?,4 niveaux,3 niveaux,5 niveaux,2 niveaux,b,Le lycée (de 15 à 18 ans). Il y a 3 niveaux.,fr,Vivre dans la société française,Naturalisation
Quelle est la section qui précède la grande section en maternelle?,Le CE1,La très grande section,Le CP,La moyenne section,d,"3 niveaux : petite section, moyenne section, et grande section.",fr,Vivre dans la société française,CSP
Qu'est-ce que le CE1?,Une école privée,Un diplôme,Une classe du collège,Un niveau du cours élémentaire,d,"Le cours élémentaire (de 6 à 11 ans). Il y a 5 niveaux : CP, CE1",fr,Vivre dans la société française,CR
Quels sont les niveaux qui précèdent la Terminale au lycée?,6e et 5e,Licence et Master,CP et CE1,Seconde et Première,d,"3 niveaux : Seconde, Première, Terminale.",fr,Vivre dans la société française,Naturalisation
La classe de 3e correspond à quel établissement scolaire?,Le collège,Le cours élémentaire,La maternelle,Le lycée,a,"Le collège (de 11 à 15 ans). Il y a 4 niveaux : 6e, 5e, 4e et 3e.",fr,Vivre dans la société française,CSP
L'accès à l'école est-il payant dans l'École républicaine (publique)?,"Non, l'École républicaine est gratuite",Seulement le matériel,"Oui, pour tous","Oui, selon les revenus",a,"L’École républicaine, gratuite, laïque et obligatoire.",fr,Principes et valeurs de la République,CR
question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,language,category,exam_category
Quel document international a défini les droits de l’enfant dans le cadre de l’ONU?,La Convention européenne des droits de l’homme,La Charte de l’environnement,La Convention Internationale des Droits de l’Enfant,Le Code civil français,c,Le document s’appelle la Convention Internationale des Droits de l’Enfant.,fr,Droits et devoirs,CSP
En quelle année la Convention Internationale des Droits de l’Enfant a-t-elle été signée?,1989,1945,2005,2015,a,"En 1989, 196 États ont signé un document sur les droits de l’enfant.",fr,"Histoire, géographie et culture",CR
Combien d’États ont signé la Convention Internationale des Droits de l’Enfant?,130,200,93,196,d,"En 1989, 196 États ont signé ce document.",fr,"Histoire, géographie et culture",Naturalisation
Quel pays est indiqué comme n’ayant pas signé la Convention Internationale des Droits de l’Enfant?,La France,La Chine,Le Canada,Les États-Unis,d,Seuls les États-Unis ne l’ont pas signé.,fr,"Histoire, géographie et culture",CSP
Que présente la Convention Internationale des Droits de l’Enfant?,Les droits fondamentaux des enfants,Les droits des entreprises,Les règles de location,Les obligations fiscales,a,Ce document présente les droits fondamentaux des enfants.,fr,Droits et devoirs,CR
